,StartFrame,EndFrame,Class,DwellTime,Nucleus,NuclearBasket,CentralScaffold1,CentralScaffold2,CytoplasmicFibril,Cytoplasm
130,13067,13070,abortive_central_channel,2,,,,,,
131,13094,13096,abortive_central_channel,1,,,,,,
132,13102,13104,docking_event,1,,,,,,
133,13192,13196,docking_event,3,,,,,38.08,
134,13511,13513,docking_event,1,,,,,,
135,13551,13555,docking_event,2,,,,,,
136,13558,13561,docking_event,1,,,,,,56.41
137,13581,13583,docking_event,1,,,,,,
138,13605,13607,abortive_central_channel,1,,,,,,
139,13636,13638,docking_event,1,,,,,,
140,13759,13762,abortive_central_channel,2,,,,,,
141,13843,13846,abortive_central_channel,2,,,,,,
142,13856,13859,docking_event,2,,,,,4.53,
143,13881,13888,docking_event,5,,,,,35.29,
144,13941,13943,docking_event,1,,,,,,
145,13993,13997,docking_event,3,,,,,35.75,
146,14010,14012,docking_event,1,,,,,,
147,14054,14057,docking_event,2,,,,,31.53,
148,14123,14125,abortive_central_channel,1,,,,,,
149,14183,14185,abortive_central_channel,1,,,,,,
150,14404,14410,docking_event,3,,,,,85.28,52.04
151,14568,14571,docking_event,2,,,,,38.29,
152,14592,14594,docking_event,1,,,,,,
153,14680,14685,docking_event,1,,,,,,18.26
154,14688,14692,docking_event,3,,,,,56.81,
155,14704,14708,docking_event,1,,,,,,24.98
156,14799,14802,docking_event,1,,,,,,60.7
157,14846,14848,docking_event,1,,,,,,
158,14858,14860,docking_event,1,,,,,,
