Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,760,63,64,6560.00,0.595736,139.940,1242.25,3143.14,173839,0.00000,64.0679,65.1021,2.73933,2.73933,27.0801
Series 1.tif: x0 y0 w128 h128,764,64,64,5899.00,0.625125,140.389,1074.46,2673.74,150842,0.00000,64.2171,64.5383,2.52656,2.52656,26.8278
Series 1.tif: x0 y0 w128 h128,766,63,64,6827.00,0.671796,137.962,1208.30,2498.83,166700,0.00000,64.1024,64.6940,2.55328,2.55328,25.6848
Series 1.tif: x0 y0 w128 h128,768,63,64,5384.00,0.609031,134.044,792.247,3048.50,106196,0.00000,63.7668,64.7763,2.45202,2.45202,31.2911
Series 1.tif: x0 y0 w128 h128,769,63,65,5616.00,0.552427,135.200,1307.56,2670.17,176782,0.00000,64.1409,64.9421,2.93960,2.93960,28.8550
Series 1.tif: x0 y0 w128 h128,772,64,65,6351.00,0.536948,133.126,294.433,3736.38,39196.7,0.00000,64.1808,64.9561,1.67612,1.67612,35.8946
Series 1.tif: x0 y0 w128 h128,770,64,64,6326.00,0.687052,134.904,799.098,2961.51,107802,0.00000,64.3835,64.8135,2.25167,2.25167,28.3596
Series 1.tif: x0 y0 w128 h128,776,64,64,5412.00,0.510162,130.754,776.667,2994.13,101553,0.00000,64.3699,64.8142,2.39188,2.39188,31.1527
Series 1.tif: x0 y0 w128 h128,771,64,64,6522.00,0.722479,135.440,539.010,3495.13,73003.2,0.00000,64.1645,64.8146,2.01395,2.01395,31.1112
Series 1.tif: x0 y0 w128 h128,777,63,64,5261.00,0.770033,121.943,474.650,2782.55,57880.4,0.00000,63.6040,64.8237,1.86943,1.86943,32.3182
Series 1.tif: x0 y0 w128 h128,775,63,64,4511.00,0.445851,135.885,317.450,3647.45,43136.8,0.00000,63.8258,64.3645,1.69234,1.69234,34.4713
Series 1.tif: x0 y0 w128 h128,774,64,64,6420.00,0.617767,131.121,504.659,3226.19,66171.3,0.00000,64.1984,64.9390,1.90030,1.90030,30.7668
Series 1.tif: x0 y0 w128 h128,773,64,64,5653.00,0.599866,135.081,1628.38,1798.71,219964,0.00000,64.1087,64.6730,2.95523,2.95523,25.8131
Series 1.tif: x0 y0 w128 h128,773,53,85,2396.00,0.458243,135.081,20.3420,1549.08,2747.83,0.00000,53.9593,85.1319,0.321301,0.321301,34.3303
