Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,30,63,65,4223.00,0.521794,153.378,867.225,1667.73,133013,0.00000,63.2431,65.7417,2.85318,2.85318,33.0535
Series 1.tif: x0 y0 w128 h128,36,64,65,3458.00,0.455944,156.205,320.539,2270.81,50070.0,0.00000,64.2263,65.3541,1.95048,1.95048,37.7026
Series 1.tif: x0 y0 w128 h128,34,63,65,3780.00,0.502174,155.941,95.2701,2817.52,14856.5,0.00000,64.3705,64.9902,1.07503,1.07503,39.2804
Series 1.tif: x0 y0 w128 h128,46,64,64,5222.00,0.680045,155.663,150.077,2502.48,23361.5,0.00000,64.4694,64.8896,1.29390,1.29390,37.0065
Series 1.tif: x0 y0 w128 h128,47,64,65,4200.00,0.648980,156.619,64.8552,2756.11,10157.5,0.00000,64.4346,64.7124,0.744169,0.744169,33.4065
Series 1.tif: x0 y0 w128 h128,35,63,65,4174.00,0.574325,158.493,149.871,2824.73,23753.4,0.00000,64.0170,65.2362,1.33086,1.33086,37.9061
Series 1.tif: x0 y0 w128 h128,49,64,65,4078.00,0.662524,155.118,444.485,1936.71,68947.4,0.00000,64.4670,65.2195,2.21487,2.21487,36.1750
Series 1.tif: x0 y0 w128 h128,115,64,64,5575.00,0.662979,153.050,206.027,2832.93,31532.3,0.00000,64.2317,64.8014,1.33497,1.33497,32.2414
Series 1.tif: x0 y0 w128 h128,118,64,65,4501.00,0.717834,151.569,290.732,2756.93,44065.9,0.00000,64.2589,65.1079,1.57882,1.57882,31.9928
Series 1.tif: x0 y0 w128 h128,119,64,65,5027.00,0.604168,156.680,182.670,2798.26,28620.7,0.00000,64.0531,65.2825,1.29184,1.29184,32.9559
Series 1.tif: x0 y0 w128 h128,117,64,65,4550.00,0.552610,159.568,120.577,3073.55,19240.3,0.00000,64.6535,64.8616,1.06986,1.06986,33.8158
Series 1.tif: x0 y0 w128 h128,116,64,64,5572.00,0.621288,156.172,297.745,2559.10,46499.3,0.00000,64.6422,64.8151,1.73602,1.73602,34.5447
Series 1.tif: x0 y0 w128 h128,120,64,65,4057.00,0.623412,156.491,250.047,2629.14,39130.3,0.00000,64.1139,65.1175,1.69218,1.69218,37.0568
Series 1.tif: x0 y0 w128 h128,121,64,64,4566.00,0.744157,157.531,240.317,2740.70,37857.3,0.00000,64.1175,64.9427,1.52343,1.52343,33.6652
Series 1.tif: x0 y0 w128 h128,128,64,65,4464.00,0.553267,155.118,125.096,2863.43,19404.6,0.00000,64.5558,64.9462,1.18933,1.18933,37.5365
Series 1.tif: x0 y0 w128 h128,125,64,65,5288.00,0.739415,157.760,157.546,2855.99,24854.4,0.00000,64.3795,65.0458,1.26032,1.26032,34.7837
Series 1.tif: x0 y0 w128 h128,124,64,64,4766.00,0.593049,158.192,99.7580,3016.05,15780.9,0.00000,63.7067,64.6942,0.923937,0.923937,32.4327
Series 1.tif: x0 y0 w128 h128,122,63,64,6578.00,0.677356,155.414,175.184,2938.99,27226.0,0.00000,63.5828,64.8949,1.16891,1.16891,30.4614
Series 1.tif: x0 y0 w128 h128,123,63,64,6242.00,0.603267,158.068,286.510,2718.96,45287.9,0.00000,63.7688,64.8920,1.57500,1.57500,31.5773
Series 1.tif: x0 y0 w128 h128,127,63,64,4435.00,0.523051,157.147,55.3241,2956.75,8694.03,0.00000,64.1993,64.5351,0.795190,0.795190,39.0318
Series 1.tif: x0 y0 w128 h128,130,64,64,5795.00,0.562060,156.765,167.741,3034.47,26295.8,0.00000,64.5489,64.5390,1.37300,1.37300,36.9393
Series 1.tif: x0 y0 w128 h128,134,64,65,3641.00,0.637702,155.573,192.964,2459.36,30020.0,0.00000,64.2032,64.8479,1.46912,1.46912,36.8458
Series 1.tif: x0 y0 w128 h128,131,64,65,5084.00,0.651475,157.329,183.017,2646.06,28793.9,0.00000,64.6355,65.0112,1.34599,1.34599,34.3449
Series 1.tif: x0 y0 w128 h128,129,63,64,4776.00,0.679489,156.678,976.601,1500.73,153012,0.00000,63.5634,64.3508,2.93047,2.93047,31.5619
Series 1.tif: x0 y0 w128 h128,133,64,64,4688.00,0.663518,160.088,131.397,2765.44,21035.0,0.00000,64.3056,64.4974,1.14096,1.14096,34.4353
Series 1.tif: x0 y0 w128 h128,135,64,64,4116.00,0.622712,156.506,234.586,2426.45,36714.1,0.00000,64.3074,64.8156,1.70698,1.70698,38.8190
Series 1.tif: x0 y0 w128 h128,136,64,65,3941.00,0.447507,154.848,114.191,2956.66,17682.2,0.00000,65.0410,65.5247,1.07906,1.07906,35.6530
Series 1.tif: x0 y0 w128 h128,202,64,64,4948.00,0.623958,154.955,789.276,1695.59,122302,0.00000,64.2288,64.1928,2.78515,2.78515,33.7736
Series 1.tif: x0 y0 w128 h128,203,64,64,4355.00,0.597118,158.008,404.276,2351.88,63879.0,0.00000,64.1969,64.1682,2.01759,2.01759,34.1322
Series 1.tif: x0 y0 w128 h128,205,64,64,5101.00,0.744406,158.978,150.337,2785.68,23900.3,0.00000,64.2274,64.8339,1.16737,1.16737,32.7976
Series 1.tif: x0 y0 w128 h128,211,64,65,4696.00,0.587076,156.984,88.1965,2717.12,13845.5,0.00000,64.9758,65.4929,1.00499,1.00499,38.0995
Series 1.tif: x0 y0 w128 h128,213,64,65,5265.00,0.607666,158.283,191.203,2476.45,30264.3,0.00000,64.2713,65.5575,1.46779,1.46779,36.7308
Series 1.tif: x0 y0 w128 h128,210,64,65,5321.00,0.700694,156.775,134.005,2767.08,21008.7,0.00000,64.1792,64.9424,1.10409,1.10409,33.1904
Series 1.tif: x0 y0 w128 h128,212,64,65,4423.00,0.554027,156.246,367.567,2173.56,57430.9,0.00000,64.2990,65.6045,1.99246,1.99246,35.7006
Series 1.tif: x0 y0 w128 h128,216,64,65,4079.00,0.571055,157.862,181.847,2569.34,28706.7,0.00000,64.3375,65.2124,1.43578,1.43578,36.9364
Series 1.tif: x0 y0 w128 h128,218,63,65,4542.00,0.648189,156.066,211.834,2539.50,33060.0,0.00000,63.9164,65.2913,1.49741,1.49741,35.6282
Series 1.tif: x0 y0 w128 h128,220,64,65,4770.00,0.736177,157.986,140.729,2690.93,22233.2,0.00000,64.6878,65.1864,1.12953,1.12953,32.9629
Series 1.tif: x0 y0 w128 h128,219,64,65,5487.00,0.659125,156.006,165.787,2786.59,25863.9,0.00000,64.5378,65.5961,1.20469,1.20469,32.3660
Series 1.tif: x0 y0 w128 h128,217,64,65,5159.00,0.597287,156.221,303.437,2593.72,47403.1,0.00000,64.1197,65.4699,1.94703,1.94703,38.8344
Series 1.tif: x0 y0 w128 h128,208,64,65,3304.00,0.520205,156.726,256.654,2428.56,40224.4,0.00000,64.4728,65.3945,1.76979,1.76979,38.3596
Series 1.tif: x0 y0 w128 h128,288,64,64,5164.00,0.592879,159.126,258.661,2832.73,41159.8,0.00000,64.1439,64.3355,1.58221,1.58221,33.5105
Series 1.tif: x0 y0 w128 h128,286,64,64,7103.00,0.865556,155.016,209.049,2959.62,32406.0,0.00000,63.7579,64.6770,0.894999,0.894999,21.2290
Series 1.tif: x0 y0 w128 h128,291,63,64,5229.00,0.529105,158.141,385.671,2398.45,60990.3,0.00000,63.9207,64.9295,1.95403,1.95403,33.8207
Series 1.tif: x0 y0 w128 h128,290,64,65,6227.00,0.853622,159.720,220.090,3048.33,35152.9,0.00000,63.9891,64.9424,0.982245,0.982245,22.2917
Series 1.tif: x0 y0 w128 h128,294,63,64,3664.00,0.477114,158.726,258.974,2534.77,41105.9,0.00000,63.7670,64.9589,1.77407,1.77407,38.0602
Series 1.tif: x0 y0 w128 h128,287,64,65,4459.00,0.655233,155.695,160.151,2897.14,24934.7,0.00000,64.0803,64.9252,1.20833,1.20833,33.1341
Series 1.tif: x0 y0 w128 h128,289,64,64,6170.00,0.835552,159.944,230.112,2916.94,36805.1,0.00000,63.7734,64.7479,0.993413,0.993413,21.9977
Series 1.tif: x0 y0 w128 h128,292,63,65,4328.00,0.516165,155.107,140.614,3112.15,21810.2,0.00000,63.7017,64.8967,1.27177,1.27177,37.7558
Series 1.tif: x0 y0 w128 h128,297,64,65,4506.00,0.528444,156.665,134.320,2739.20,21043.3,0.00000,64.8478,65.6307,1.28835,1.28835,39.1559
Series 1.tif: x0 y0 w128 h128,293,63,65,5592.00,0.645853,158.790,290.504,2637.85,46128.9,0.00000,63.6402,64.9681,1.59841,1.59841,31.7740
Series 1.tif: x0 y0 w128 h128,295,63,65,4380.00,0.684585,158.460,552.920,1970.54,87615.7,0.00000,63.4330,65.5025,2.25131,2.25131,32.2625
Series 1.tif: x0 y0 w128 h128,299,64,65,3969.00,0.552170,158.583,578.121,1880.02,91679.8,0.00000,64.1763,65.5569,2.37980,2.37980,33.4470
Series 1.tif: x0 y0 w128 h128,302,64,65,4536.00,0.742764,153.863,407.716,2418.40,62732.3,0.00000,64.0571,65.7544,1.86918,1.86918,31.6066
Series 1.tif: x0 y0 w128 h128,301,64,66,5250.00,0.721249,157.564,456.693,2094.55,71958.2,0.00000,64.0698,66.0493,1.92372,1.92372,30.2966
Series 1.tif: x0 y0 w128 h128,304,64,65,6326.00,0.742189,159.129,384.260,2716.20,61146.7,0.00000,64.0477,65.3803,1.68911,1.68911,28.8444
Series 1.tif: x0 y0 w128 h128,303,63,65,4379.00,0.696600,157.671,288.659,2687.20,45513.0,0.00000,63.7590,65.1971,1.68376,1.68376,33.8529
Series 1.tif: x0 y0 w128 h128,300,64,65,4985.00,0.654338,154.720,551.323,2046.54,85300.8,0.00000,63.8490,65.8656,2.26449,2.26449,32.8669
Series 1.tif: x0 y0 w128 h128,305,64,65,5813.00,0.670558,157.568,544.447,2392.12,85787.5,0.00000,64.1076,65.2640,2.06756,2.06756,29.7233
Series 1.tif: x0 y0 w128 h128,306,66,67,17626.0,0.920139,173.319,606.274,3412.30,105079,0.00000,66.5125,66.9764,1.04494,1.04494,13.3985
Series 1.tif: x0 y0 w128 h128,296,63,64,3566.00,0.589425,160.425,763.974,1618.27,122561,0.00000,63.7629,65.0750,2.68768,2.68768,32.5635
