Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,497,64,64,7023.00,0.758022,181.801,620.665,2789.29,112837,0.00000,64.7762,64.6732,2.11347,2.11347,26.5602
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,498,64,64,6958.00,0.607434,178.718,521.979,3050.42,93287.1,0.00000,64.7379,64.7552,2.08442,2.08442,29.0347
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,499,64,65,7087.00,0.733698,181.739,510.000,2902.50,92686.8,0.00000,64.3922,64.9754,1.88012,1.88012,26.0856
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,500,64,64,6725.00,0.693162,181.809,721.714,2556.46,131214,0.00000,64.7112,64.4238,2.30119,2.30119,26.8040
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,501,64,64,8307.00,0.706876,182.248,243.328,3730.50,44346.0,0.00000,64.2740,64.6557,1.28262,1.28262,26.0712
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,502,64,64,7933.00,0.720139,183.466,392.586,3391.08,72026.1,0.00000,64.3517,64.5700,1.72201,1.72201,27.3151
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,503,64,64,7097.00,0.690014,183.199,613.828,2968.93,112453,0.00000,64.5061,64.5286,2.14441,2.14441,27.0599
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,504,64,64,6896.00,0.746315,181.761,1212.68,1823.37,220418,0.00000,64.6235,64.7053,2.64643,2.64643,23.4496
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,505,64,64,6851.00,0.742379,180.643,398.272,3336.99,71945.3,0.00000,64.5113,64.7402,1.67029,1.67029,26.3995
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,506,64,64,6793.00,0.704643,180.830,340.870,3502.38,61639.3,0.00000,64.4472,64.8247,1.65358,1.65358,28.4679
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,507,64,64,6443.00,0.708156,182.861,325.015,3399.25,59432.5,0.00000,64.6911,64.7908,1.75908,1.75908,31.1544
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,508,64,64,6829.00,0.679904,180.731,473.573,3046.06,85589.4,0.00000,64.7114,64.6347,2.00444,2.00444,29.2297
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,509,64,64,6184.00,0.754098,178.157,566.878,2925.43,100993,0.00000,64.4980,64.5801,2.03606,2.03606,27.0611
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,510,64,64,6754.00,0.741543,183.076,410.815,3303.41,75210.2,0.00000,64.2729,64.6429,1.73954,1.73954,26.9519
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,511,64,64,6964.00,0.707029,183.547,459.355,3250.37,84313.2,0.00000,64.6643,64.5430,1.86277,1.86277,27.2502
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,512,64,64,7223.00,0.739218,176.381,479.378,3346.72,84553.0,0.00000,65.0148,64.5317,1.92710,1.92710,28.1033
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,513,64,64,7561.00,0.789661,179.377,492.168,3209.00,88283.5,0.00000,64.5353,64.6385,1.91756,1.91756,27.3401
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,580,64,64,6475.00,0.764318,178.323,486.675,3220.89,86785.2,0.00000,64.5147,64.6699,1.87270,1.87270,26.8833
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,581,64,64,6331.00,0.610163,182.970,669.137,2674.01,122432,0.00000,64.2549,64.4622,2.30033,2.30033,27.8695
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,582,64,64,5867.00,0.563213,179.281,676.632,2777.84,121308,0.00000,64.6707,64.7613,2.36858,2.36858,28.8622
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,583,64,64,5920.00,0.670993,183.210,315.878,3599.00,57871.8,0.00000,64.4436,64.8372,1.58773,1.58773,28.2632
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,584,64,64,6512.00,0.624233,179.253,391.711,3301.12,70215.3,0.00000,64.6973,64.7726,1.84115,1.84115,29.7274
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,585,64,64,6350.00,0.669442,182.439,730.902,2489.51,133345,0.00000,64.3914,64.7710,2.33137,2.33137,26.9572
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,586,64,64,5371.00,0.610751,180.905,597.732,2773.25,108132,0.00000,64.5526,64.7095,2.22491,2.22491,28.7611
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,587,64,64,6815.00,0.619521,182.363,924.902,2287.27,168668,0.00000,64.7589,64.6199,2.67240,2.67240,27.4786
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,588,64,64,6576.00,0.622573,180.550,337.366,3451.67,60911.4,0.00000,64.4268,64.7427,1.62073,1.62073,28.0346
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,590,64,64,7463.00,0.801033,177.344,384.259,3340.80,68146.1,0.00000,64.5765,64.7206,1.74310,1.74310,28.4351
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,591,64,64,7621.00,0.735651,181.616,349.894,3491.24,63546.4,0.00000,64.4010,64.6642,1.58006,1.58006,26.6575
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,591,49,57,2217.00,0.223214,181.616,15.3754,2281.18,2792.42,0.00000,48.6767,57.0362,0.241358,0.241358,30.1986
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,593,64,64,6581.00,0.735677,180.411,635.948,2684.53,114732,0.00000,64.5513,64.4949,2.18951,2.18951,27.3278
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,594,65,64,4873.00,0.636447,175.726,1099.21,2040.73,193161,0.00000,64.9164,64.9147,2.87325,2.87325,27.4819
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,595,64,64,6465.00,0.707527,181.842,1069.42,1964.09,194465,0.00000,64.7202,64.5861,2.62501,2.62501,24.8949
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,596,64,64,7761.00,0.600427,180.837,350.408,3491.72,63366.8,0.00000,64.4811,64.6875,1.69664,1.69664,28.8265
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,597,64,64,5388.00,0.550653,177.608,339.447,3625.81,60288.3,0.00000,64.2481,64.8205,1.90082,1.90082,33.5558
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,598,64,64,7277.00,0.781523,178.910,407.538,3103.58,72912.5,0.00000,64.2744,64.5685,1.66193,1.66193,26.0379
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,599,64,64,7589.00,0.682146,181.640,282.033,3551.35,51228.3,0.00000,64.5812,64.8143,1.58640,1.58640,30.2159
Stream-2020-11-12.15.46.11-0: x0 y0 w128 h128,601,64,64,5566.00,0.649512,179.837,638.812,2606.03,114882,0.00000,64.4949,64.4391,2.32756,2.32756,29.1999
