Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,+/-,Signal,+/-,Angle,+/-,X,+/-,Y,+/-,X SD,+/-,Y SD,+/-,Precision (nm)
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4347,45,49,30586,0.709096,21.4127,320.461,269.49,0.0110451,6861.91,0.639504,0,0,-31.78090992,0.00692582,3.225612117,0.00692347,258.215,0.0111524,258.215,0.0111524,8.99528
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4348,45,49,25933,0.69751,20.9366,483.462,234.133,0.0193933,10122.1,1.45268,0,0,-12.43090992,0.00739328,-17.03438788,0.0073799,316.239,0.0181851,316.239,0.0181851,8.92741
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4349,45,49,29273,0.79038,20.4656,337.866,271.765,0.0113774,6914.61,0.666587,0,0,-36.79090992,0.00702138,3.795612117,0.00702065,260.876,0.011562,260.876,0.011562,8.85787
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4350,45,49,29842,0.762954,21.2613,249.096,298.964,0.00758778,5296.12,0.379928,0,0,29.17909008,0.00683594,27.89561212,0.00680855,225.867,0.00833229,225.867,0.00833229,8.96534
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4351,45,49,26563,0.780928,21.2372,393.636,248.512,0.0137254,8359.73,0.881087,0,0,-11.19090992,0.00683568,-0.984387883,0.00681233,280.925,0.0129153,280.925,0.0129153,8.72335
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4352,45,49,28037,0.667947,21.5761,350.868,271.036,0.0145123,7570.35,0.947988,0,0,-21.42090992,0.00778445,18.15561212,0.00776765,285.142,0.0153734,285.142,0.0153734,9.73187
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4353,45,49,36331,0.723852,21.1126,196.852,320.51,0.00595306,4156.07,0.256174,0,0,-28.84090992,0.00651407,-25.69438788,0.00651497,195.946,0.0067408,195.946,0.0067408,8.73418
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4356,45,49,26939,0.659075,21.0085,244.563,310.472,0.00838662,5137.91,0.448641,0,0,22.65909008,0.00793308,-49.81438788,0.00792334,239.182,0.0103793,239.182,0.0103793,9.94315
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4359,45,49,27586,0.759702,21.1412,320.501,279.543,0.0108118,6775.77,0.632302,0,0,-4.510909919,0.00712164,-23.83438788,0.00711392,259.66,0.0112483,259.66,0.0112483,9.09614
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4360,45,49,31106,0.640157,21.1349,413.944,248.709,0.0180171,8748.66,1.29594,0,0,-21.11090992,0.00796808,-8.574387883,0.00795857,307.125,0.0185671,307.125,0.0185671,9.61829
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4361,45,49,30963,0.801082,20.913,359.022,263.639,0.0103839,7508.23,0.589066,0,0,-14.18090992,0.00609676,27.44561212,0.00608737,253.457,0.00936272,253.457,0.00936272,8.0614
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4362,45,49,28768,0.777761,21.2102,318.703,278.975,0.0113516,6759.74,0.664439,0,0,-37.20090992,0.00716969,22.18561212,0.00716926,260.662,0.0117865,260.662,0.0117865,9.183
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4363,45,49,29933,0.792466,21.029,521.089,224.778,0.0213278,10958,1.63279,0,0,-60.56090992,0.00709087,5.765612117,0.00708711,322.135,0.0188878,322.135,0.0188878,8.65531
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4365,45,49,26992,0.753807,20.6584,281.691,293.59,0.0102233,5819.27,0.573701,0,0,-20.62090992,0.00771655,15.34561212,0.0077075,251.229,0.0117246,251.229,0.0117246,9.61992
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4366,45,49,29704,0.703881,20.7852,233.064,305.317,0.00786293,4844.28,0.402634,0,0,26.75909008,0.00778612,-24.26438788,0.00775881,230.407,0.00972964,230.407,0.00972964,9.77974
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4367,45,49,33069,0.799035,21.3379,437.304,251.404,0.0128906,9331.16,0.816707,0,0,10.20909008,0.00598935,13.40561212,0.00593566,277.376,0.0107364,277.376,0.0107364,7.88834
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4368,45,49,26283,0.729461,21.4204,494.447,240.122,0.019628,10591.3,1.46756,0,0,-11.99090992,0.00705759,2.725612117,0.00701823,316.094,0.0175211,316.094,0.0175211,8.72227
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4370,45,49,30679,0.745174,21.0275,255.036,309.901,0.00803819,5362.77,0.410511,0,0,15.68909008,0.00701801,13.46561212,0.00699489,230.323,0.00892542,230.323,0.00892542,9.08556
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4371,45,49,33127,0.806319,20.9855,250.297,303.159,0.00710852,5252.6,0.34191,0,0,8.549090081,0.00638614,-29.07438788,0.00638147,217.811,0.00745185,217.811,0.00745185,8.4895
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4372,46,49,34706,0.800058,21.387,214.502,297.52,0.00647286,4587.55,0.294335,0,0,53.14909008,0.00656941,-7.894387883,0.00656395,206.606,0.0071882,206.606,0.0071882,8.80897
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4373,45,49,29575,0.676945,20.9688,290.331,290.059,0.0102669,6087.89,0.579659,0,0,-11.24090992,0.00745611,4.985612117,0.00744054,252.403,0.0113514,252.403,0.0113514,9.43093
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4374,45,49,34061,0.839712,21.2073,275.275,295.535,0.00774013,5837.84,0.383743,0,0,-25.87090992,0.00609916,47.58561212,0.00610194,224.472,0.00757829,224.472,0.00757829,8.22961
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4375,45,49,30463,0.673648,21.2541,266.085,318.365,0.00909194,5655.38,0.48725,0,0,-4.100909919,0.00729131,9.765612117,0.00727508,240.964,0.0101522,240.964,0.0101522,9.38581
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4376,45,49,30313,0.722846,21.3256,328.087,296.252,0.0119441,6996.66,0.714609,0,0,-34.44090992,0.00720578,8.875612117,0.00720299,265.539,0.0123033,265.539,0.0123033,9.2221
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4377,45,49,32091,0.717442,21.2484,307.112,290.877,0.0106365,6525.63,0.609399,0,0,-21.02090992,0.0071387,-10.08438788,0.00713593,255.662,0.0111668,255.662,0.0111668,9.17589
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4378,45,49,29047,0.748442,20.8498,339.494,281.307,0.0102917,7078.37,0.579507,0,0,-21.26090992,0.00638216,23.12561212,0.00637592,251.957,0.00974514,251.957,0.00974514,8.34465
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4379,45,49,32474,0.804941,21.4059,354.519,270.846,0.0117032,7588.8,0.693125,0,0,-46.16090992,0.00652383,15.73561212,0.0065239,263.33,0.0109751,263.33,0.0109751,8.56708
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4380,45,49,25402,0.706738,21.6516,685.96,180.544,0.0287436,14852.2,2.61186,0,0,-15.45090992,0.00702935,-46.27438788,0.00713284,362.014,0.0234359,362.014,0.0234359,8.30031
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4381,45,49,26066,0.713146,21.3756,196.653,327.092,0.00638326,4203.58,0.288126,0,0,12.52909008,0.00706671,-7.044387883,0.00706076,205.127,0.00765755,205.127,0.00765755,9.32812
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4382,45,49,33647,0.737649,21.2404,355.412,267.842,0.0119284,7549.07,0.728617,0,0,0.449090081,0.0069204,-15.10438788,0.00689513,269.301,0.0117425,269.301,0.0117425,8.85892
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4383,45,49,22771,0.724571,20.9371,255.4,295.675,0.0087669,5347.35,0.466145,0,0,-6.080909919,0.00757741,-30.49438788,0.00757811,238.947,0.0102742,238.947,0.0102742,9.60113
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4384,45,49,26772,0.74757,20.7096,308.193,295.229,0.0103073,6382.54,0.594191,0,0,4.929090081,0.00736073,-26.96438788,0.00734493,256.21,0.0112069,256.21,0.0112069,9.23241
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4385,45,49,32825,0.722101,21.1717,447.404,245.945,0.0174694,9472.28,1.23665,0,0,-47.90090992,0.00714089,42.30561212,0.00716638,303.533,0.0162984,303.533,0.0162984,8.88628
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4386,45,49,29215,0.749834,21.3786,195.921,332.782,0.00650322,4188.52,0.294734,0,0,-3.990909919,0.00715543,14.85561212,0.00715189,206.084,0.00786523,206.084,0.00786523,9.42059
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4387,45,49,36687,0.740848,21.1838,221.566,307.209,0.0071489,4693.62,0.342307,0,0,7.079090081,0.00709805,11.61561212,0.00708798,217.095,0.00832356,217.095,0.00832356,9.26566
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4388,45,49,38181,0.803345,20.6941,364.093,270.599,0.0105385,7534.59,0.596767,0,0,-43.32090992,0.00605925,4.005612117,0.00605976,253.378,0.0094281,253.378,0.0094281,7.99308
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4390,45,49,33155,0.841711,21.077,310.033,281.182,0.00895615,6534.56,0.482878,0,0,13.07909008,0.00636926,-10.88438788,0.00634534,241.776,0.00874912,241.776,0.00874912,8.39419
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4391,45,49,27163,0.731028,21.0166,383.75,259.053,0.0124318,8065.12,0.755614,0,0,-49.26090992,0.00642947,16.14561212,0.00642964,269.118,0.0113182,269.118,0.0113182,8.3623
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4392,45,49,33431,0.735375,21.1206,241.309,304.7,0.0073857,5096.6,0.367681,0,0,34.37909008,0.00701299,-24.41438788,0.00698732,224.398,0.00837946,224.398,0.00837946,9.11403
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4393,45,49,33659,0.673829,21.5121,1069.02,107.314,0.0539773,22996.9,6.19706,0,0,-36.07090992,0.00690751,-15.45438788,0.00694838,424.404,0.0381191,424.404,0.0381191,7.53076
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4394,45,49,22637,0.759161,20.8437,806.758,173.058,0.0413995,16815.8,4.37152,0,0,8.139090081,0.00826759,35.85561212,0.00810343,400.869,0.036031,400.869,0.036031,8.62678
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4395,45,49,31494,0.755793,20.77,376.519,275.002,0.0122281,7820.3,0.7626,0,0,17.01909008,0.00694357,-2.134387883,0.00687578,273.516,0.0119467,273.516,0.0119467,8.71681
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4396,45,49,28537,0.629003,21.1137,459.892,231.845,0.0180697,9710.01,1.2925,0,0,-32.60090992,0.00710784,26.78561212,0.00710652,306.102,0.0166373,306.102,0.0166373,8.81591
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4397,45,49,29743,0.696408,20.9587,500.857,234.228,0.0191054,10497.3,1.39923,0,0,-27.27090992,0.00685709,12.72561212,0.00684355,311.61,0.0167435,311.61,0.0167435,8.49412
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4398,45,49,34689,0.800459,21.4462,290.498,299.711,0.00870342,6230.06,0.459508,0,0,4.899090081,0.00643268,25.18561212,0.00641503,237.559,0.00866907,237.559,0.00866907,8.56333
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4400,45,49,29408,0.723938,21.1608,500.765,232.375,0.0227726,10596.6,1.78981,0,0,-51.22090992,0.00767293,6.025612117,0.00767437,328.441,0.0215296,328.441,0.0215296,9.18088
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4401,45,49,33141,0.671552,21.2516,348.346,268.391,0.0128098,7402.89,0.797001,0,0,-11.15090992,0.00730484,16.47561212,0.00727943,273.941,0.013104,273.941,0.013104,9.23349
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4402,45,49,24443,0.650248,20.9693,910.253,138.1,0.048776,19087.4,5.40881,0,0,-24.21090992,0.00783354,-21.13438788,0.00787168,414.707,0.0397098,414.707,0.0397098,8.26769
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4403,45,49,25136,0.751864,21.0979,258.341,265.857,0.00930651,5450.44,0.510692,0,0,8.969090081,0.00788591,-17.50438788,0.00786156,245.587,0.0111419,245.587,0.0111419,9.90446
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4405,45,49,22862,0.72744,21.0762,434.972,235.472,0.0183105,9167.55,1.33663,0,0,-57.86090992,0.00776489,-31.50438788,0.00782649,310.245,0.0183672,310.245,0.0183672,9.40133
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4407,45,49,25751,0.714579,20.3047,346.648,292.838,0.0140231,7038.56,0.907839,0,0,-38.73090992,0.00821187,-24.27438788,0.00824316,282.871,0.0158292,282.871,0.0158292,9.83024
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4409,45,49,30554,0.797211,21.1707,261.086,286.612,0.00816509,5527.37,0.42679,0,0,10.79909008,0.00707541,-47.84438788,0.00707659,234.678,0.00909659,234.678,0.00909659,9.1615
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4410,45,49,38515,0.767334,21.3175,313.759,266.885,0.0100541,6688.54,0.560472,0,0,-30.48090992,0.00662676,-11.35438788,0.00662934,249.747,0.00995249,249.747,0.00995249,8.70564
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4411,45,49,28118,0.674477,21.0519,266.949,290.763,0.00925501,5619.78,0.500681,0,0,-13.10090992,0.00745754,-17.75438788,0.00745473,242.954,0.0105261,242.954,0.0105261,9.49878
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4413,45,49,34812,0.720126,21.0405,282.551,305.387,0.00867215,5945.04,0.462437,0,0,6.599090081,0.00684418,-33.63438788,0.00683774,239.264,0.00919301,239.264,0.00919301,8.88112
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4415,45,49,29390,0.741529,21.2309,517.087,209.221,0.0199217,10978.2,1.49779,0,0,-13.90090992,0.00687256,24.79561212,0.0068395,317.43,0.0172693,317.43,0.0172693,8.49704
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4417,45,49,31486,0.776935,20.5038,314.974,281.209,0.00926332,6458.15,0.496125,0,0,-32.74090992,0.0063821,22.08561212,0.00638099,241.156,0.00903054,241.156,0.00903054,8.31639
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4419,45,49,30980,0.74093,20.8125,282.695,293.021,0.0102094,5883.58,0.586623,0,0,0.279090081,0.00792846,-34.50438788,0.00792675,255.451,0.0119969,255.451,0.0119969,9.82401
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4420,45,49,26341,0.62068,20.8251,833.458,160.209,0.0475378,17356.8,5.12244,0,0,-46.90090992,0.00816587,27.51561212,0.00818173,407.662,0.0408915,407.662,0.0408915,8.63264
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4421,45,49,31555,0.756116,21.5011,296.645,263.727,0.0108951,6378.17,0.642867,0,0,-3.600909919,0.00767594,-32.68438788,0.00767689,261.396,0.0121906,261.396,0.0121906,9.72978
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4425,45,49,29658,0.76559,20.9631,286.195,288.903,0.00882789,5999.54,0.469991,0,0,2.899090081,0.00677993,38.24561212,0.00676548,239.291,0.0092315,239.291,0.0092315,8.80231
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4426,45,49,29962,0.735277,21.4998,167.413,339.1,0.00526909,3599.34,0.211782,0,0,49.69909008,0.00656167,2.045612117,0.00655785,182.976,0.00623405,182.976,0.00623405,8.9223
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4428,45,49,25546,0.772126,21.4942,337.714,268.081,0.0118655,7258.89,0.711421,0,0,-22.17090992,0.00696934,-1.864387883,0.00696217,265.819,0.0118265,265.819,0.0118265,9.01485
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4430,45,49,31308,0.698859,21.7547,198.469,310.859,0.00626805,4317.64,0.28256,0,0,15.13909008,0.00684944,-43.86438788,0.00684791,204.662,0.00731919,204.662,0.00731919,9.19492
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4432,45,49,33678,0.720884,21.2682,490.392,232.422,0.0211739,10429.7,1.67057,0,0,0.889090081,0.00787233,48.04561212,0.00782803,327.936,0.0205982,327.936,0.0205982,9.30026
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4433,45,49,28003,0.710315,21.5402,252.538,293.339,0.00881637,5439.71,0.468434,0,0,-12.13090992,0.00744251,-28.65438788,0.00744574,238.914,0.0101391,238.914,0.0101391,9.62691
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4434,45,49,31301,0.734942,21.2531,219.218,329.014,0.00751933,4659.05,0.365292,0,0,-32.05090992,0.00736267,7.345612117,0.00736177,220.404,0.00897056,220.404,0.00897056,9.55178
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4435,45,49,31230,0.76859,21.0981,364.158,267.909,0.012209,7683.03,0.742041,0,0,-16.36090992,0.0067496,18.81561212,0.00673423,268.804,0.0116912,268.804,0.0116912,8.68292
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4436,45,49,34799,0.760484,21.1904,307.757,261.786,0.0097412,6521.51,0.537534,0,0,-13.40090992,0.00667189,-5.634387883,0.00666373,247.379,0.00977646,247.379,0.00977646,8.72351
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4437,45,49,31104,0.701396,22.1834,220.807,310.065,0.00728523,4898.26,0.356868,0,0,30.36909008,0.00709083,17.34561212,0.00706537,221.358,0.00840141,221.358,0.00840141,9.47434
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4438,45,49,30086,0.720431,21.0265,302.932,279.797,0.0103398,6369.6,0.602403,0,0,-2.020909919,0.00748687,73.27561212,0.00750733,258.141,0.0114401,258.141,0.0114401,9.43312
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4439,45,49,32164,0.754281,21.0176,490.79,237.581,0.01858,10315.2,1.34581,0,0,-25.47090992,0.00684595,10.05561212,0.00683071,309,0.0163534,309,0.0163534,8.51369
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4440,45,49,37049,0.790977,21.1476,378.881,266.121,0.0099107,8012.44,0.55192,0,0,-21.88090992,0.00551585,-20.11438788,0.00551892,249.323,0.00819066,249.323,0.00819066,7.53679
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4441,45,49,29822,0.683567,21.7366,324.015,275.135,0.0121004,7042.99,0.72774,0,0,-36.62090992,0.00722525,16.71561212,0.00722332,266.716,0.012459,266.716,0.012459,9.3377
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4442,45,49,38843,0.758584,21.1994,151.397,349.029,0.00450614,3209.52,0.155659,0,0,11.97909008,0.00544042,-10.30438788,0.00545017,157.461,0.00468432,157.461,0.00468432,7.80303
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4444,45,49,30257,0.754941,21.3879,263.792,287.807,0.00849694,5641.95,0.447766,0,0,18.24909008,0.00706895,-7.764387883,0.00704045,236.806,0.00934517,236.806,0.00934517,9.19183
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4445,45,49,30163,0.74591,20.5867,312.742,295.31,0.0109042,6438.33,0.629577,0,0,-23.03090992,0.007343,24.33561212,0.00733633,257.487,0.0117029,257.487,0.0117029,9.20859
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4446,45,49,33194,0.682485,21.4313,221.768,302.738,0.00765138,4752.77,0.37873,0,0,0.469090081,0.00746907,-4.174387883,0.00745931,224.006,0.00919044,224.006,0.00919044,9.68305
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4447,45,49,33447,0.747884,21.2107,296.463,277.462,0.00936284,6288.17,0.507303,0,0,-18.22090992,0.00668869,-11.92438788,0.00668623,243.426,0.0095264,243.426,0.0095264,8.76406
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4448,46,48,23477,0.783813,20.9852,551.677,193.332,0.019031,11577.1,1.53555,0,0,37.83909008,0.00731419,-67.70438788,0.00734141,329.984,0.0174403,329.984,0.0174403,8.59408
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4449,45,49,29082,0.756334,20.5512,238.801,316,0.00716272,4907.64,0.351399,0,0,21.86909008,0.00707256,-49.35438788,0.00706799,221.366,0.00827968,221.366,0.00827968,9.05903
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4450,45,49,34379,0.767602,20.5526,276.022,311.343,0.00821862,5672.97,0.419887,0,0,-29.16090992,0.00663939,-26.70438788,0.00664578,230.765,0.00861039,230.765,0.00861039,8.61638
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4454,45,49,26522,0.732168,20.5929,863.348,158.777,0.0435254,17778.8,4.50906,0,0,-42.41090992,0.00743428,4.635612117,0.0074362,397.342,0.0347254,397.342,0.0347254,8.10711
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4455,45,49,31875,0.735553,20.6587,358.588,269.19,0.0131471,7407.96,0.851415,0,0,-36.55090992,0.00774191,-58.15438788,0.00784679,281.733,0.0142125,281.733,0.0142125,9.47853
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,4456,45,49,25451,0.674356,21.6783,464.257,237.875,0.0218262,10064.3,1.69973,0,0,-19.09090992,0.00796797,21.92561212,0.00793682,325.905,0.021525,325.905,0.021525,9.57852
