Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,8215,64,65,5083.00,0.518558,153.464,96.7507,2637.10,14847.7,0.00000,64.2421,65.3424,1.07084,1.07084,39.0310
Series 1.tif: x0 y0 w128 h128,8216,63,64,4153.00,0.723049,150.198,168.844,2539.89,25360.0,0.00000,64.0705,64.6325,1.39474,1.39474,38.1322
Series 1.tif: x0 y0 w128 h128,8221,63,64,3762.00,0.583984,151.747,355.791,2209.71,53990.2,0.00000,63.4372,64.8708,1.96593,1.96593,36.2836
Series 1.tif: x0 y0 w128 h128,8222,64,65,4510.00,0.649146,150.564,124.404,2532.92,18730.8,0.00000,64.0782,65.1167,1.17982,1.17982,37.8091
Series 1.tif: x0 y0 w128 h128,8229,64,64,5286.00,0.446789,143.834,50.0949,2730.96,7205.37,0.00000,64.5659,64.7147,0.664600,0.664600,35.9605
Series 1.tif: x0 y0 w128 h128,8227,63,65,4115.00,0.583838,149.122,114.923,2593.32,17137.5,0.00000,62.9485,65.2158,1.08415,1.08415,36.2887
Series 1.tif: x0 y0 w128 h128,8295,64,66,4645.00,0.640449,148.398,185.333,2577.96,27503.0,0.00000,64.8054,65.9187,1.40541,1.40541,36.6546
Series 1.tif: x0 y0 w128 h128,8294,64,66,3788.00,0.575827,122.667,676.122,1650.77,82937.8,0.00000,64.1198,66.7174,2.55344,2.55344,37.1124
Series 1.tif: x0 y0 w128 h128,8299,64,65,4590.00,0.628379,149.976,130.836,2554.80,19622.3,0.00000,64.7884,66.0547,1.06279,1.06279,32.9616
Series 1.tif: x0 y0 w128 h128,8297,64,65,4520.00,0.627856,148.312,123.765,2689.83,18355.8,0.00000,64.9405,65.6589,1.11061,1.11061,35.7832
Series 1.tif: x0 y0 w128 h128,8296,64,65,4104.00,0.618123,149.429,396.443,2183.27,59240.1,0.00000,64.9611,66.0307,2.06098,2.06098,36.2035
Series 1.tif: x0 y0 w128 h128,8312,64,64,3727.00,0.645392,149.196,267.047,1984.29,39842.3,0.00000,64.5457,64.8536,1.79259,1.79259,38.8397
Series 1.tif: x0 y0 w128 h128,8385,63,64,3762.00,0.580694,148.292,334.614,2022.29,49620.4,0.00000,63.6662,64.8224,1.95781,1.95781,37.7728
Series 1.tif: x0 y0 w128 h128,8384,63,64,4639.00,0.677151,148.794,238.238,2262.06,35448.3,0.00000,63.5796,64.5529,1.66990,1.66990,38.3584
Series 1.tif: x0 y0 w128 h128,8382,63,64,3391.00,0.619859,147.431,532.157,1584.19,78456.3,0.00000,63.5052,64.6033,2.38008,2.38008,36.1837
Series 1.tif: x0 y0 w128 h128,8387,64,64,4385.00,0.614097,147.159,187.562,2186.67,27601.4,0.00000,64.5941,64.8252,1.52114,1.52114,39.8534
Series 1.tif: x0 y0 w128 h128,8392,64,65,4128.00,0.722431,149.911,105.090,2460.11,15754.2,0.00000,64.9618,65.3445,1.08519,1.08519,38.1346
Series 1.tif: x0 y0 w128 h128,8469,63,64,3937.00,0.558888,148.514,431.045,2078.21,64016.1,0.00000,63.5631,64.9584,2.32532,2.32532,39.6208
Series 1.tif: x0 y0 w128 h128,8470,64,64,3096.00,0.449299,148.208,731.083,1512.44,108352,0.00000,64.3561,64.5314,2.87221,2.87221,37.2169
Series 1.tif: x0 y0 w128 h128,8556,63,65,6408.00,0.650559,150.237,140.309,2749.92,21079.6,0.00000,63.4554,65.4159,0.963042,0.963042,28.6614
Series 1.tif: x0 y0 w128 h128,8555,64,64,3316.00,0.701958,145.008,147.307,2351.23,21360.6,0.00000,65.0592,65.1536,1.30994,1.30994,39.0775
Series 1.tif: x0 y0 w128 h128,8566,63,64,3748.00,0.608830,153.348,949.658,1392.08,145628,0.00000,63.9152,64.7183,2.92518,2.92518,32.2998
Series 1.tif: x0 y0 w128 h128,8557,64,65,4105.00,0.618062,150.176,642.879,1620.38,96545.2,0.00000,64.5637,65.1770,2.64675,2.64675,36.3156
Series 1.tif: x0 y0 w128 h128,8574,64,65,4223.00,0.467599,149.076,77.0235,2724.38,11482.4,0.00000,64.1663,66.1037,0.880868,0.880868,36.6732
Series 1.tif: x0 y0 w128 h128,8645,64,65,4690.00,0.655921,149.795,140.797,2374.32,21090.6,0.00000,64.8649,65.2161,1.29486,1.29486,39.0523
Series 1.tif: x0 y0 w128 h128,8655,65,64,3753.00,0.622682,146.869,477.001,1694.35,70056.8,0.00000,65.2992,64.6482,2.29001,2.29001,36.9351
Series 1.tif: x0 y0 w128 h128,8647,61,82,2065.00,0.366171,147.711,16.0777,1759.19,2374.85,0.00000,60.9122,82.8600,0.335067,0.335067,38.6815
Series 1.tif: x0 y0 w128 h128,8726,65,64,3576.00,0.621661,129.932,332.577,1960.34,43212.5,0.00000,65.2294,64.7726,1.89512,1.89512,38.7347
Series 1.tif: x0 y0 w128 h128,8730,64,64,5053.00,0.555919,149.534,423.150,2082.04,63275.4,0.00000,63.9934,64.8429,2.15221,2.15221,36.6015
Series 1.tif: x0 y0 w128 h128,8735,64,64,2788.00,0.527432,146.877,456.083,1793.73,66988.2,0.00000,64.5437,64.5299,2.38926,2.38926,39.7393
