midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,NucChnlX,NucChnlY,CytChnlx,CytChnly
-31.58339,-949.72973,38.41661,-949.72973,-131.58339,-949.72973,-51.58339,-949.72973,-11.58339,-949.72973
-31.22118,-947.56757,38.77882,-947.56757,-131.22118,-947.56757,-51.22118,-947.56757,-11.22118,-947.56757
-30.85984,-945.40541,39.14016,-945.40541,-130.85984,-945.40541,-50.85984,-945.40541,-10.85984,-945.40541
-30.49936,-943.24324,39.50064,-943.24324,-130.49936,-943.24324,-50.49936,-943.24324,-10.49936,-943.24324
-30.13974,-941.08108,39.86026,-941.08108,-130.13974,-941.08108,-50.13974,-941.08108,-10.13974,-941.08108
-29.781,-938.91892,40.219,-938.91892,-129.781,-938.91892,-49.781,-938.91892,-9.781,-938.91892
-29.42311,-936.75676,40.57689,-936.75676,-129.42311,-936.75676,-49.42311,-936.75676,-9.42311,-936.75676
-29.0661,-934.59459,40.9339,-934.59459,-129.0661,-934.59459,-49.0661,-934.59459,-9.0661,-934.59459
-28.70995,-932.43243,41.29005,-932.43243,-128.70995,-932.43243,-48.70995,-932.43243,-8.70995,-932.43243
-28.35466,-930.27027,41.64534,-930.27027,-128.35466,-930.27027,-48.35466,-930.27027,-8.35466,-930.27027
-28.00024,-928.10811,41.99976,-928.10811,-128.00024,-928.10811,-48.00024,-928.10811,-8.00024,-928.10811
-27.64669,-925.94595,42.35331,-925.94595,-127.64669,-925.94595,-47.64669,-925.94595,-7.64669,-925.94595
-27.294,-923.78378,42.706,-923.78378,-127.294,-923.78378,-47.294,-923.78378,-7.294,-923.78378
-26.94217,-921.62162,43.05783,-921.62162,-126.94217,-921.62162,-46.94217,-921.62162,-6.94217,-921.62162
-26.59122,-919.45946,43.40878,-919.45946,-126.59122,-919.45946,-46.59122,-919.45946,-6.59122,-919.45946
-26.24113,-917.2973,43.75887,-917.2973,-126.24113,-917.2973,-46.24113,-917.2973,-6.24113,-917.2973
-25.8919,-915.13514,44.1081,-915.13514,-125.8919,-915.13514,-45.8919,-915.13514,-5.8919,-915.13514
-25.54354,-912.97297,44.45646,-912.97297,-125.54354,-912.97297,-45.54354,-912.97297,-5.54354,-912.97297
-25.19605,-910.81081,44.80395,-910.81081,-125.19605,-910.81081,-45.19605,-910.81081,-5.19605,-910.81081
-24.84942,-908.64865,45.15058,-908.64865,-124.84942,-908.64865,-44.84942,-908.64865,-4.84942,-908.64865
-24.50365,-906.48649,45.49635,-906.48649,-124.50365,-906.48649,-44.50365,-906.48649,-4.50365,-906.48649
-24.15876,-904.32432,45.84124,-904.32432,-124.15876,-904.32432,-44.15876,-904.32432,-4.15876,-904.32432
-23.81472,-902.16216,46.18528,-902.16216,-123.81472,-902.16216,-43.81472,-902.16216,-3.81472,-902.16216
-23.47156,-900,46.52844,-900,-123.47156,-900,-43.47156,-900,-3.47156,-900
-23.12926,-897.83784,46.87074,-897.83784,-123.12926,-897.83784,-43.12926,-897.83784,-3.12926,-897.83784
-22.78782,-895.67568,47.21218,-895.67568,-122.78782,-895.67568,-42.78782,-895.67568,-2.78782,-895.67568
-22.44725,-893.51351,47.55275,-893.51351,-122.44725,-893.51351,-42.44725,-893.51351,-2.44725,-893.51351
-22.10755,-891.35135,47.89245,-891.35135,-122.10755,-891.35135,-42.10755,-891.35135,-2.10755,-891.35135
-21.76871,-889.18919,48.23129,-889.18919,-121.76871,-889.18919,-41.76871,-889.18919,-1.76871,-889.18919
-21.43074,-887.02703,48.56926,-887.02703,-121.43074,-887.02703,-41.43074,-887.02703,-1.43074,-887.02703
-21.09363,-884.86486,48.90637,-884.86486,-121.09363,-884.86486,-41.09363,-884.86486,-1.09363,-884.86486
-20.75739,-882.7027,49.24261,-882.7027,-120.75739,-882.7027,-40.75739,-882.7027,-0.757390000000001,-882.7027
-20.42202,-880.54054,49.57798,-880.54054,-120.42202,-880.54054,-40.42202,-880.54054,-0.42202,-880.54054
-20.08751,-878.37838,49.91249,-878.37838,-120.08751,-878.37838,-40.08751,-878.37838,-0.087510000000002,-878.37838
-19.75386,-876.21622,50.24614,-876.21622,-119.75386,-876.21622,-39.75386,-876.21622,0.24614,-876.21622
-19.42109,-874.05405,50.57891,-874.05405,-119.42109,-874.05405,-39.42109,-874.05405,0.578910000000001,-874.05405
-19.08917,-871.89189,50.91083,-871.89189,-119.08917,-871.89189,-39.08917,-871.89189,0.910830000000001,-871.89189
-18.75813,-869.72973,51.24187,-869.72973,-118.75813,-869.72973,-38.75813,-869.72973,1.24187,-869.72973
-18.42795,-867.56757,51.57205,-867.56757,-118.42795,-867.56757,-38.42795,-867.56757,1.57205,-867.56757
-18.09863,-865.40541,51.90137,-865.40541,-118.09863,-865.40541,-38.09863,-865.40541,1.90137,-865.40541
-17.77018,-863.24324,52.22982,-863.24324,-117.77018,-863.24324,-37.77018,-863.24324,2.22982,-863.24324
-17.4426,-861.08108,52.5574,-861.08108,-117.4426,-861.08108,-37.4426,-861.08108,2.5574,-861.08108
-17.11588,-858.91892,52.88412,-858.91892,-117.11588,-858.91892,-37.11588,-858.91892,2.88412,-858.91892
-16.79003,-856.75676,53.20997,-856.75676,-116.79003,-856.75676,-36.79003,-856.75676,3.20997,-856.75676
-16.46504,-854.59459,53.53496,-854.59459,-116.46504,-854.59459,-36.46504,-854.59459,3.53496,-854.59459
-16.14092,-852.43243,53.85908,-852.43243,-116.14092,-852.43243,-36.14092,-852.43243,3.85908,-852.43243
-15.81766,-850.27027,54.18234,-850.27027,-115.81766,-850.27027,-35.81766,-850.27027,4.18234,-850.27027
-15.49527,-848.10811,54.50473,-848.10811,-115.49527,-848.10811,-35.49527,-848.10811,4.50473,-848.10811
-15.17375,-845.94595,54.82625,-845.94595,-115.17375,-845.94595,-35.17375,-845.94595,4.82625,-845.94595
-14.85309,-843.78378,55.14691,-843.78378,-114.85309,-843.78378,-34.85309,-843.78378,5.14691,-843.78378
-14.53329,-841.62162,55.46671,-841.62162,-114.53329,-841.62162,-34.53329,-841.62162,5.46671,-841.62162
-14.21437,-839.45946,55.78563,-839.45946,-114.21437,-839.45946,-34.21437,-839.45946,5.78563,-839.45946
-13.8963,-837.2973,56.1037,-837.2973,-113.8963,-837.2973,-33.8963,-837.2973,6.1037,-837.2973
-13.57911,-835.13514,56.42089,-835.13514,-113.57911,-835.13514,-33.57911,-835.13514,6.42089,-835.13514
-13.26278,-832.97297,56.73722,-832.97297,-113.26278,-832.97297,-33.26278,-832.97297,6.73722,-832.97297
-12.94731,-830.81081,57.05269,-830.81081,-112.94731,-830.81081,-32.94731,-830.81081,7.05269,-830.81081
-12.63271,-828.64865,57.36729,-828.64865,-112.63271,-828.64865,-32.63271,-828.64865,7.36729,-828.64865
-12.31898,-826.48649,57.68102,-826.48649,-112.31898,-826.48649,-32.31898,-826.48649,7.68102,-826.48649
-12.00611,-824.32432,57.99389,-824.32432,-112.00611,-824.32432,-32.00611,-824.32432,7.99389,-824.32432
-11.69411,-822.16216,58.30589,-822.16216,-111.69411,-822.16216,-31.69411,-822.16216,8.30589,-822.16216
-11.38297,-820,58.61703,-820,-111.38297,-820,-31.38297,-820,8.61703,-820
-11.0727,-817.83784,58.9273,-817.83784,-111.0727,-817.83784,-31.0727,-817.83784,8.9273,-817.83784
-10.7633,-815.67568,59.2367,-815.67568,-110.7633,-815.67568,-30.7633,-815.67568,9.2367,-815.67568
-10.45476,-813.51351,59.54524,-813.51351,-110.45476,-813.51351,-30.45476,-813.51351,9.54524,-813.51351
-10.14709,-811.35135,59.85291,-811.35135,-110.14709,-811.35135,-30.14709,-811.35135,9.85291,-811.35135
-9.84028,-809.18919,60.15972,-809.18919,-109.84028,-809.18919,-29.84028,-809.18919,10.15972,-809.18919
-9.53433,-807.02703,60.46567,-807.02703,-109.53433,-807.02703,-29.53433,-807.02703,10.46567,-807.02703
-9.22926,-804.86486,60.77074,-804.86486,-109.22926,-804.86486,-29.22926,-804.86486,10.77074,-804.86486
-8.92505,-802.7027,61.07495,-802.7027,-108.92505,-802.7027,-28.92505,-802.7027,11.07495,-802.7027
-8.6217,-800.54054,61.3783,-800.54054,-108.6217,-800.54054,-28.6217,-800.54054,11.3783,-800.54054
-8.31922,-798.37838,61.68078,-798.37838,-108.31922,-798.37838,-28.31922,-798.37838,11.68078,-798.37838
-8.01761,-796.21622,61.98239,-796.21622,-108.01761,-796.21622,-28.01761,-796.21622,11.98239,-796.21622
-7.71686,-794.05405,62.28314,-794.05405,-107.71686,-794.05405,-27.71686,-794.05405,12.28314,-794.05405
-7.41698,-791.89189,62.58302,-791.89189,-107.41698,-791.89189,-27.41698,-791.89189,12.58302,-791.89189
-7.11796,-789.72973,62.88204,-789.72973,-107.11796,-789.72973,-27.11796,-789.72973,12.88204,-789.72973
-6.81981,-787.56757,63.18019,-787.56757,-106.81981,-787.56757,-26.81981,-787.56757,13.18019,-787.56757
-6.52252,-785.40541,63.47748,-785.40541,-106.52252,-785.40541,-26.52252,-785.40541,13.47748,-785.40541
-6.2261,-783.24324,63.7739,-783.24324,-106.2261,-783.24324,-26.2261,-783.24324,13.7739,-783.24324
-5.93055,-781.08108,64.06945,-781.08108,-105.93055,-781.08108,-25.93055,-781.08108,14.06945,-781.08108
-5.63586,-778.91892,64.36414,-778.91892,-105.63586,-778.91892,-25.63586,-778.91892,14.36414,-778.91892
-5.34204,-776.75676,64.65796,-776.75676,-105.34204,-776.75676,-25.34204,-776.75676,14.65796,-776.75676
-5.04908,-774.59459,64.95092,-774.59459,-105.04908,-774.59459,-25.04908,-774.59459,14.95092,-774.59459
-4.75699,-772.43243,65.24301,-772.43243,-104.75699,-772.43243,-24.75699,-772.43243,15.24301,-772.43243
-4.46576,-770.27027,65.53424,-770.27027,-104.46576,-770.27027,-24.46576,-770.27027,15.53424,-770.27027
-4.1754,-768.10811,65.8246,-768.10811,-104.1754,-768.10811,-24.1754,-768.10811,15.8246,-768.10811
-3.88591,-765.94595,66.11409,-765.94595,-103.88591,-765.94595,-23.88591,-765.94595,16.11409,-765.94595
-3.59728,-763.78378,66.40272,-763.78378,-103.59728,-763.78378,-23.59728,-763.78378,16.40272,-763.78378
-3.30951,-761.62162,66.69049,-761.62162,-103.30951,-761.62162,-23.30951,-761.62162,16.69049,-761.62162
-3.02261,-759.45946,66.97739,-759.45946,-103.02261,-759.45946,-23.02261,-759.45946,16.97739,-759.45946
-2.73658,-757.2973,67.26342,-757.2973,-102.73658,-757.2973,-22.73658,-757.2973,17.26342,-757.2973
-2.45142,-755.13514,67.54858,-755.13514,-102.45142,-755.13514,-22.45142,-755.13514,17.54858,-755.13514
-2.16712,-752.97297,67.83288,-752.97297,-102.16712,-752.97297,-22.16712,-752.97297,17.83288,-752.97297
-1.88368,-750.81081,68.11632,-750.81081,-101.88368,-750.81081,-21.88368,-750.81081,18.11632,-750.81081
-1.60111,-748.64865,68.39889,-748.64865,-101.60111,-748.64865,-21.60111,-748.64865,18.39889,-748.64865
-1.31941,-746.48649,68.68059,-746.48649,-101.31941,-746.48649,-21.31941,-746.48649,18.68059,-746.48649
-1.03857,-744.32432,68.96143,-744.32432,-101.03857,-744.32432,-21.03857,-744.32432,18.96143,-744.32432
-0.7586,-742.16216,69.2414,-742.16216,-100.7586,-742.16216,-20.7586,-742.16216,19.2414,-742.16216
-0.47949,-740,69.52051,-740,-100.47949,-740,-20.47949,-740,19.52051,-740
-0.20125,-737.83784,69.79875,-737.83784,-100.20125,-737.83784,-20.20125,-737.83784,19.79875,-737.83784
0.07613,-735.67568,70.07613,-735.67568,-99.92387,-735.67568,-19.92387,-735.67568,20.07613,-735.67568
0.35264,-733.51351,70.35264,-733.51351,-99.64736,-733.51351,-19.64736,-733.51351,20.35264,-733.51351
0.62828,-731.35135,70.62828,-731.35135,-99.37172,-731.35135,-19.37172,-731.35135,20.62828,-731.35135
0.90306,-729.18919,70.90306,-729.18919,-99.09694,-729.18919,-19.09694,-729.18919,20.90306,-729.18919
1.17697,-727.02703,71.17697,-727.02703,-98.82303,-727.02703,-18.82303,-727.02703,21.17697,-727.02703
1.45002,-724.86486,71.45002,-724.86486,-98.54998,-724.86486,-18.54998,-724.86486,21.45002,-724.86486
1.7222,-722.7027,71.7222,-722.7027,-98.2778,-722.7027,-18.2778,-722.7027,21.7222,-722.7027
1.99352,-720.54054,71.99352,-720.54054,-98.00648,-720.54054,-18.00648,-720.54054,21.99352,-720.54054
2.26397,-718.37838,72.26397,-718.37838,-97.73603,-718.37838,-17.73603,-718.37838,22.26397,-718.37838
2.53355,-716.21622,72.53355,-716.21622,-97.46645,-716.21622,-17.46645,-716.21622,22.53355,-716.21622
2.80227,-714.05405,72.80227,-714.05405,-97.19773,-714.05405,-17.19773,-714.05405,22.80227,-714.05405
3.07012,-711.89189,73.07012,-711.89189,-96.92988,-711.89189,-16.92988,-711.89189,23.07012,-711.89189
