Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,3,63,65,4878.00,0.540610,121.976,1193.99,2177.58,145638,0.00000,63.8487,65.0761,2.79182,2.79182,30.0819
Series 1.tif: x0 y0 w128 h128,7,63,65,5532.00,0.680201,123.206,1250.61,1812.18,154083,0.00000,63.7079,65.1915,2.69400,2.69400,28.1324
Series 1.tif: x0 y0 w128 h128,6,64,64,4701.00,0.601265,124.790,695.153,2579.76,86747.9,0.00000,64.4523,65.1025,2.44158,2.44158,34.5547
Series 1.tif: x0 y0 w128 h128,8,64,64,4637.00,0.641988,124.818,975.117,2244.00,121712,0.00000,64.0316,64.6821,2.52533,2.52533,29.8286
Series 1.tif: x0 y0 w128 h128,1,64,64,4485.00,0.495127,115.593,528.860,2463.05,61132.5,0.00000,64.3405,64.8517,2.24676,2.24676,37.9834
Series 1.tif: x0 y0 w128 h128,68,63,65,5858.00,0.591398,126.096,596.060,3119.01,75160.9,0.00000,64.2090,65.2380,2.11513,2.11513,32.0676
Series 1.tif: x0 y0 w128 h128,70,64,64,4998.00,0.717510,130.182,710.072,2771.57,92438.2,0.00000,64.0065,64.3799,2.08123,2.08123,28.2725
Series 1.tif: x0 y0 w128 h128,71,64,64,7094.00,0.552359,129.280,650.246,2818.97,84063.9,0.00000,64.2246,64.7753,2.08709,2.08709,29.8232
Series 1.tif: x0 y0 w128 h128,69,63,64,7073.00,0.732622,127.367,296.312,3801.87,37740.2,0.00000,63.6470,64.4224,1.36088,1.36088,29.3245
Series 1.tif: x0 y0 w128 h128,73,64,64,5090.00,0.754760,124.480,1718.79,1663.02,213955,0.00000,64.1513,64.8404,2.88175,2.88175,25.3905
Series 1.tif: x0 y0 w128 h128,74,63,64,5182.00,0.475683,128.626,245.586,3589.19,31588.6,0.00000,63.9895,64.9891,1.59646,1.59646,38.2514
Series 1.tif: x0 y0 w128 h128,76,64,64,5311.00,0.593012,125.351,272.227,3470.02,34123.9,0.00000,64.1988,65.0428,1.57454,1.57454,36.0153
Series 1.tif: x0 y0 w128 h128,75,64,64,4698.00,0.566850,129.623,1415.56,2011.37,183490,0.00000,64.5180,64.8464,2.93903,2.93903,28.1911
Series 1.tif: x0 y0 w128 h128,81,64,64,6306.00,0.738851,125.351,466.816,3091.11,58515.9,0.00000,64.5400,64.7303,1.78442,1.78442,30.6604
Series 1.tif: x0 y0 w128 h128,82,64,65,5976.00,0.734081,129.396,402.758,3163.77,52115.2,0.00000,64.0502,64.8936,1.65642,1.65642,30.2598
Series 1.tif: x0 y0 w128 h128,83,64,64,5338.00,0.718011,128.222,459.821,2969.69,58959.1,0.00000,64.1773,64.7886,1.72790,1.72790,29.5748
Series 1.tif: x0 y0 w128 h128,72,64,64,6362.00,0.681755,127.726,341.105,3547.19,43568.0,0.00000,64.3231,64.5306,1.48067,1.48067,29.6216
Series 1.tif: x0 y0 w128 h128,84,64,64,7466.00,0.861334,126.656,599.510,2988.81,75931.5,0.00000,64.3601,64.6239,1.61516,1.61516,24.1045
Series 1.tif: x0 y0 w128 h128,77,64,64,4968.00,0.748320,122.107,1946.96,1267.60,237738,0.00000,64.3544,64.9573,2.99340,2.99340,24.9667
Series 1.tif: x0 y0 w128 h128,85,63,64,4720.00,0.602764,124.376,519.964,2865.79,64671.2,0.00000,63.9294,64.9743,2.08036,2.08036,34.1448
Series 1.tif: x0 y0 w128 h128,148,64,64,6172.00,0.723356,129.837,1317.83,2350.75,171103,0.00000,64.0237,64.8450,2.56634,2.56634,25.3728
Series 1.tif: x0 y0 w128 h128,149,63,65,4983.00,0.539649,127.857,947.216,2650.84,121108,0.00000,63.9213,64.9673,2.38242,2.38242,28.1726
Series 1.tif: x0 y0 w128 h128,147,63,64,6729.00,0.801857,129.605,562.774,3502.12,72938.1,0.00000,63.9046,65.0270,1.52592,1.52592,23.2648
Series 1.tif: x0 y0 w128 h128,147,70,78,2392.00,0.348428,129.605,20.8105,1819.08,2697.13,0.00000,71.0377,78.9723,0.378639,0.378639,38.4715
Series 1.tif: x0 y0 w128 h128,146,64,65,5801.00,0.656470,114.311,326.383,2872.12,37309.3,0.00000,64.4626,65.2416,1.49181,1.49181,32.1815
Series 1.tif: x0 y0 w128 h128,157,64,64,5174.00,0.668147,124.788,1159.29,1955.05,144666,0.00000,64.1869,64.9234,2.65035,2.65035,28.6206
Series 1.tif: x0 y0 w128 h128,153,64,64,5656.00,0.678794,124.219,384.784,3345.57,47797.5,0.00000,63.8298,64.5675,1.67159,1.67159,31.9061
Series 1.tif: x0 y0 w128 h128,152,64,64,5911.00,0.632005,128.162,865.817,2558.21,110965,0.00000,64.1629,64.5971,2.27638,2.27638,28.1439
Series 1.tif: x0 y0 w128 h128,151,64,64,6513.00,0.697401,123.759,1070.80,2360.24,132520,0.00000,64.0861,64.6130,2.51320,2.51320,28.3433
Series 1.tif: x0 y0 w128 h128,150,64,64,5407.00,0.641076,129.186,745.831,2749.98,96350.8,0.00000,64.1293,64.7249,2.18206,2.18206,29.0468
Series 1.tif: x0 y0 w128 h128,155,64,64,5882.00,0.649995,126.367,982.314,2342.37,124133,0.00000,64.4646,64.8606,2.49002,2.49002,29.1053
Series 1.tif: x0 y0 w128 h128,156,63,64,6467.00,0.771882,126.695,277.591,3276.04,35169.4,0.00000,63.9740,64.6974,1.38974,1.38974,31.1111
Series 1.tif: x0 y0 w128 h128,160,64,65,4624.00,0.600333,125.364,895.995,2350.64,112326,0.00000,64.0723,65.2132,2.59508,2.59508,32.0709
Series 1.tif: x0 y0 w128 h128,162,64,64,5344.00,0.663409,128.231,268.028,3269.90,34369.4,0.00000,63.9856,64.6876,1.51005,1.51005,34.3943
Series 1.tif: x0 y0 w128 h128,163,64,64,5763.00,0.427776,121.823,329.183,3290.77,40102.1,0.00000,64.5678,64.9868,1.88569,1.88569,39.8672
Series 1.tif: x0 y0 w128 h128,161,63,64,5130.00,0.585344,125.420,244.678,3287.62,30687.6,0.00000,64.2262,64.5949,1.43465,1.43465,34.5992
Series 1.tif: x0 y0 w128 h128,165,64,65,5756.00,0.589347,124.533,362.969,3050.61,45201.5,0.00000,64.6172,65.1100,1.71272,1.71272,33.7460
Series 1.tif: x0 y0 w128 h128,227,64,64,6747.00,0.770342,129.637,674.114,2965.22,87390.3,0.00000,64.3015,64.7343,1.91210,1.91210,26.6565
Series 1.tif: x0 y0 w128 h128,226,64,64,6917.00,0.712014,130.012,514.314,3666.37,66867.1,0.00000,63.9681,64.9976,1.71482,1.71482,27.4579
Series 1.tif: x0 y0 w128 h128,231,64,64,5786.00,0.659229,128.321,501.001,2968.51,64289.0,0.00000,64.1628,64.9666,1.82149,1.82149,29.8355
Series 1.tif: x0 y0 w128 h128,229,63,64,7013.00,0.621306,129.147,442.830,3523.70,57190.3,0.00000,63.7159,64.7738,1.76072,1.76072,30.6793
Series 1.tif: x0 y0 w128 h128,234,64,65,4993.00,0.501644,131.812,1035.14,2435.02,136444,0.00000,64.0030,65.0843,2.70849,2.70849,30.3433
Series 1.tif: x0 y0 w128 h128,228,64,64,5721.00,0.661237,131.328,899.171,2627.19,118086,0.00000,64.2203,64.7308,2.26239,2.26239,27.0940
Series 1.tif: x0 y0 w128 h128,235,63,64,5351.00,0.614265,124.871,653.001,2759.69,81541.0,0.00000,63.8758,64.7591,2.19433,2.19433,31.8824
Series 1.tif: x0 y0 w128 h128,239,63,64,4799.00,0.545076,125.803,363.471,3227.60,45725.6,0.00000,63.9840,64.7811,1.86524,1.86524,36.7656
Series 1.tif: x0 y0 w128 h128,238,63,64,5081.00,0.645862,125.797,515.961,2798.92,64906.4,0.00000,64.0954,64.6737,2.02049,2.02049,33.0653
Series 1.tif: x0 y0 w128 h128,238,47,52,2245.00,0.319505,125.797,23.9529,1664.39,3013.21,0.00000,47.0668,51.9915,0.317424,0.317424,32.1938
Series 1.tif: x0 y0 w128 h128,240,63,64,4546.00,0.470563,127.910,321.556,3221.86,41130.2,0.00000,63.8906,65.0399,1.90583,1.90583,39.9918
Series 1.tif: x0 y0 w128 h128,242,63,64,4873.00,0.568858,125.448,824.959,2314.84,103489,0.00000,64.0429,64.6693,2.61492,2.61492,33.8058
Series 1.tif: x0 y0 w128 h128,311,63,64,5289.00,0.684319,125.956,642.246,3033.65,80894.8,0.00000,64.0632,64.7270,2.13455,2.13455,31.1167
Series 1.tif: x0 y0 w128 h128,312,63,65,5704.00,0.701321,133.749,988.605,2281.47,132225,0.00000,64.1160,64.9298,2.46092,2.46092,27.9023
Series 1.tif: x0 y0 w128 h128,313,64,65,4841.00,0.455436,127.140,444.267,3049.06,56483.9,0.00000,64.3805,64.9077,2.06600,2.06600,36.5793
Series 1.tif: x0 y0 w128 h128,306,63,65,6648.00,0.715022,135.627,1228.96,2418.91,166680,0.00000,64.1365,65.0564,2.42558,2.42558,24.3169
Series 1.tif: x0 y0 w128 h128,308,63,64,6135.00,0.664041,127.132,448.984,3440.40,57080.4,0.00000,63.9707,64.8504,1.83438,1.83438,32.0262
Series 1.tif: x0 y0 w128 h128,307,63,64,7309.00,0.776734,128.291,905.647,2844.21,116186,0.00000,63.9475,64.9841,2.09946,2.09946,25.2436
Series 1.tif: x0 y0 w128 h128,316,64,64,5718.00,0.669838,130.765,269.870,3190.63,35289.6,0.00000,64.6187,64.6367,1.52798,1.52798,34.3907
Series 1.tif: x0 y0 w128 h128,318,64,64,4692.00,0.650511,127.776,603.966,2746.78,77172.7,0.00000,64.1094,64.8454,2.19838,2.19838,32.9766
Series 1.tif: x0 y0 w128 h128,322,64,65,5591.00,0.507193,128.808,318.637,3236.88,41043.1,0.00000,64.0341,65.0050,1.71186,1.71186,35.6712
Series 1.tif: x0 y0 w128 h128,310,63,65,5665.00,0.686969,132.192,581.893,3058.69,76921.7,0.00000,63.9931,65.2356,1.98993,1.98993,29.7994
