Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,143,65,64,5758.00,0.700544,134.174,629.400,3496.98,84449.3,0.00000,65.1578,64.8375,2.16152,2.16152,30.9698
Series 1.tif: x0 y0 w128 h128,139,64,65,6188.00,0.550428,124.635,1130.70,2494.93,140925,0.00000,64.6284,65.2043,2.55320,2.55320,27.9025
Series 1.tif: x0 y0 w128 h128,146,65,64,6158.00,0.615297,140.165,494.737,3378.49,69344.8,0.00000,65.2309,64.9875,1.82969,1.82969,28.9786
Series 1.tif: x0 y0 w128 h128,144,65,65,6968.00,0.580631,133.548,325.257,3810.38,43437.5,0.00000,65.1639,65.0575,1.63927,1.63927,33.1330
Series 1.tif: x0 y0 w128 h128,140,64,64,7578.00,0.749220,138.397,1115.57,3013.14,154392,0.00000,64.6534,64.4476,2.32283,2.32283,24.2335
Series 1.tif: x0 y0 w128 h128,141,64,64,7902.00,0.695772,139.195,572.029,3580.47,79623.3,0.00000,64.8769,64.6572,1.83723,1.83723,27.0009
Series 1.tif: x0 y0 w128 h128,148,65,64,6075.00,0.704304,134.760,1128.50,2456.50,152077,0.00000,65.1157,64.7386,2.57855,2.57855,27.2131
Series 1.tif: x0 y0 w128 h128,145,65,64,7081.00,0.676026,133.036,1370.43,2361.21,182316,0.00000,65.0423,64.6669,2.53817,2.53817,24.2885
Series 1.tif: x0 y0 w128 h128,152,64,64,4935.00,0.534552,133.189,636.953,3193.28,84835.1,0.00000,64.6439,64.6070,2.30545,2.30545,33.0824
Series 1.tif: x0 y0 w128 h128,156,64,64,5260.00,0.523321,133.114,862.866,2739.14,114860,0.00000,64.9052,64.8674,2.69744,2.69744,33.2055
Series 1.tif: x0 y0 w128 h128,155,64,65,6780.00,0.619669,133.898,726.168,2699.87,97232.2,0.00000,64.8575,65.0793,2.16005,2.16005,28.6732
Series 1.tif: x0 y0 w128 h128,151,64,64,6620.00,0.600730,130.607,788.810,2789.13,103024,0.00000,64.5151,64.3692,2.19543,2.19543,28.2262
Series 1.tif: x0 y0 w128 h128,157,64,64,5714.00,0.649552,126.927,369.704,3193.99,46925.5,0.00000,64.5509,64.7214,1.65307,1.65307,31.9064
